Clean_Reviews,Sentiment_label
got my parcel delivered today i am pretty satisfied with my purchase cause the product looks exactly like the pic but the pant of the track suit is pretty warm and made of thick material as if it s for winter other than that it s amazing,2
one year old stock,0
good experience,2
first time got the old stock really disappointed,0
shirts are local and worst quality and also damaged other shirts quality are fine not satisfied from the seller not recommended,0
well at first i recieved the faulty product and after my review on the product i got a call the next day to make sure what was actually wrong this actually never happened before that i was given such a great customer service they told me to send me the new one which i got today and its working just about perfect great customer service done by roon you guys are amazing if you could work on your packaging that would be awsome thankyou roon,2
all ok but need to use cloth in strecthable cotton instead of regular cotton because trouser means comfort and flexible,1
good product original good offer shukriya daraz,2
getting very good result with this paste,2
best bangles so pretty,2
satisfied with the quality,2
thank u daraz i like tha persal received it on tha time meteial is good,2
average quality product,1
worst seller and defected product waste of money,0
i have received this item and its working fine so far no issues recommend,2
same as shown in picture i recommend all of you to buy but contains red blue and green light not that blue and pink which is shown in picture but highly recommend it s a good item thanks daraz,2
fake saller change watch of colour,0
it fits a child not even a teenager,0
bouth acha hai ma na use kiye hai as kye battery timing b achi hai,2
good but not as expected,1
buht acha ha same as like,2
delivered well within the stipulated time,2
isme koi itnay colours nahi hai srf red dark blue and green colour ki light hai fazul,0
dont buy it its totally fake product not working,0
very very poor quality charging b ni ho rhi voice b kharab ho jati h chlty chlty not recommend,0
alla things was good but the shoes was broken from back side it was very bad for me and waste for money kindly i request you dont buy form this store thasks,0
very good quality and authentic piece,2
nice,2
behtreen sound hai recommended,2
very good quality sound is very perfect and battery also buy this brand,2
view angle is good but viewing distant object is difficult,1
prefer chewing gum over these for jaw muscles growth exercise as these are not large and hard tough enough,0
kese na kal ke h,0
thanks daraz mashallah bohot axhi chiz hai jasa dikhaya weasa he diya,2
very nice product delivery on time recomended thanks daraz seller,2
nice item,2
the split ac isn t cooling the room at all it is nd day of installation and same situation faulty product also the man who came to install it seem inexperienced overall the experience is bad with the ac and service provided this needs to be changed please look into it,0
recommended seller same recieved as shown,2
the quality is very good the delivery was so fast and the products were nicely packed,2
good addition to my room,2
i m thankful to daraz for providing such facility it is recommended i ordered and i get what i wanted thanks daraz,2
very sensitive mic,2
best product received on time,2
good quality same as described original product in a quite reasonable price completely satisfied thanks seller going to order more delivered on time highly recommended,2
i ordered for black cap also mentioned in chat but recieved white colour my kids don t wear this white,0
bhoot acha product ha thanks daraz,2
good,2
very fragile packaging considering they shipped all the way from karachi to lahore secondly it took days for water to arrive which should have been same day delivered,0
good quality stuff fresh as claimed,2
really awesome product didn t expect it to be this sick looking i love and i highly recommend buying it,2
fresh received,2
very good packajing not sure about quality cuz i have not installed lights yet i hope it will work properly,1
achi cheiz hay alhamdulillah,2
such a amazing lovely and comfortable jogging shoes at a very very reasonable price,2
good product but not awsome,1
oomg these lights are love give really aesthetic vibes you can control them wd remote absolutely amazing star struck recommended,2
i oder door draft but are good and is totally fake very disappointed very poor quality,0
market se kam price main mile hain quality bhi bohat achi thi,2
also ordered this handfre it s also very good in quality sounds quality was also superb recommended,2
fresh product,2
very delicious product,2
chopsticks are light weight good,2
same as shown,2
good product should buy fair price also,2
jesa picture mein tha bilkul wesa nahi tha fabric or colour dono hi bhot kharab tha,0
i ka order dia mily i,0
achaa product hai bhtt full convenience chiz se but sond thoraa kam hai but bht achi chiz bhejhi hai service bhi fast hai bht,1
great,2
the end of strip is not working properly it has not all of colors its not even ft,0
good product delivery time good,2
hi packaging was good but how do we paste the light because there is no glue after taking that of and you are suppose to rip the blue part i did but it ended up breaking,1
product is good and same as shown in the picture but the price is too high for this thing,2
aalo market se kam price main mile hain quality bhi bohat achi thi,2
i am unhappy with delivery service seller delivered through tcs whem ac arrived in our city tcs guy call me that i have to pick it from there office paid delivery fee to seller but collect personally from tcs office and paid delivery charge to rd party again product is ok but unhappy with delivery service i ll give star to seller,0
multicolour very useful like it very much recommended,2
i ordered mix fruit shampoo and u send me cherry any how thanks,1
average ha price ke hisab se theak ha,1
same as shown in pitcher seller very positive response dlevry on time rider good person,2
v nice,2
highly recommended thankx seller thanks daraz well packed,2
received box with extensive leakage this was my first time to order such a grocery quite disappointed have initiated return,0
just love it,2
ek earphone to chal he nahi raha hai or talktime just mints hai full charge karnay k badh bhi kindly change it,0
good product in this price range,2
mashaallah daraz is so good main ne pic me jo cheez dekhi bilqul wesi hi wasool ki shukria daraz,2
bluetooth are very nice sound quality is also too good bluetooth are as same as you shown in the picture thank you very much,2
the product quality is very good and received on time well packed,2
i got expired milk delivered on march with jan expiry date and my bad luck is i ordered,0
it s nice product thank you daraz recommended,2
came good but it stopped sticking in like a day or so,1
edit i used an app called x ce to make the game think that im using xbox gamepad so it works on almost all games,2
sab kuch acha hai lekin mainy order i kiya tha aor aya i hai,2
well done seller,2
amazing product colors schemeus awesome,2
water bottles came in a secure package and where of good quality,2
don t buy anyone please it s a wastage,0
affordable best earphones i ever seen,2
kharab dya tha pura phatat hua tha very disappointed,0
good quality both are working i am satisfied,2
quality bhtreen ha sound bht acha ha jo pangwaya tha same whi ha i referred percent to buy this product thanku seller,2
quality is ok as per the price,1
bad shows for wearing,0
same as shown in picture quality good but sole little bit not so comfortable otherwise itx good,1
price or quality ka liaz sa best running shoes han,2
beautiful and classic item,2
owsom product thanks daraz,2
boht acha stuff hai size b proper hein in shirts k zabardast,2
the quality of ginger was good and it was a lot of ginger i am happy to find fresh ginger i received i always meet my requirement of fresh items to buy online from daraz because daraz is trusted platform,2
it takes week to deliver a single product very bad service,0
poor packing by sellers,0
i received my headphone very good product most buy smiling face with heart eyes i like my head phone,2
the product delivered are not as advertised the martini flavor was replaced by another one otherwise the products received are genuine and new with proper packing kindly ask the seller to update the listing as per stock available rather than sending product of their own choice,1
good quality as per price,2
g parcell mil gy pic nii lee thie may na laga lia hy aur bhot acha hy star thank u daraz,2
working as advertised recommend,2
same color and design which shown and shipping service is good thanks daraz,2
i am really satisfied outstanding clothes bages thankx daraz and shop seller its osam,2
overall satisfied and its amazing experience with the seller and daraz,2
same as shown in picture very nice packaging and delivered on time very nice service,2
bilkul b achy nahe hain sound b bht he slow hai paisy zaya huwy ye kharid kr,0
i ordered this controller to give it as a gift to my cousin on his birthday i was shocked to see that it is in a custom color and he really liked it too,2
good quality and satisfied,2
excellent quality always good buying vegetables from daraz highly recommended,2
got my parcel a few days back and it s kinda cute i like it but it came really dusty also there is a tiny hole in the bottom other then that its nice,1
the seal is broken of the box but all are in good condition with pretty packaging and product also sound of pods is excellent and with in the range of given date,0
very good quality i am happy,2
masha allah bahot zabardast headphone hai but iska aagay wala tar patla hai kya yeh kharab to nahi hoga,1
product is good new pack working but not support to t,1
very poor too much disappointed,0
damaged piece worthless,0
received on time with full safety thanks daraz and seller,2
nice product recommended to everyone,2
works properly nice in quality,2
very high price,0
good product quality is good reached on time satisfied with the seller,2
they are just woww recommended,2
the vegetables were so fresh and very well packed and price is also less as compared to market,2
wo its amazing same as shown better than air pods high battery timing more than hours used highly recommended clear voice more than stars,2
excellent product cam be fixed in any table,2
just an average product it is not what i thought low quality small size though received and fulfilling the bear minimum criteria three star,1
very good quality water,2
it s my second order amazing smiling face with heart eyes star struck highly recommended delivered on time,2
received exactly what is shown in the picture delivered on time there packaging is very good and there was no leak or damage to the product overall great experience,2
beautiful gift for kids,2
the one i ordered was different the one i received it is really shameful and intentionally cheating need to be loyal with customers,0
color black nai tha us ka wesy bohat acha tha mera parsel,1
sir help device stops working after only days,0
mashaallah quick service and very fresh potatoes thanks daraz and seller,2
handsfree properly working delivered on time quality is good,2
i am not satisfied with this shoes so i return it,0
received my mouse pad and am glad to see it s the same as shown in pictures recommended,2
it is the same as it was seen in the picture but vrey samll size,1
excellent quality product,2
same as the picture very useful perfect,2
i ordered black one they sent me totally change product,0
very awesome and very good quality i suggest this product to buy,2
it s a very nice product love this,2
amazing smiling face with heart eyes quality same as expected inshallah will keep doing order soon high quality in reasonable price,2
size issue,0
perfect in sound,2
packing was not good at all come little bit late but mouse is working well,1
superb sound quality smiling face with heart eyes,2
fresh and good,2
nice delivery on time reasonable price,2
thanks very nice fragrance thanks gift,2
i m very happy to see this product unfortunately it delivered late but i m very satisfied with daraz service team as they resolve my delay problem within hours,1
absolutely terrible the material quality is almost close to paper the bag tore from the zipper when i packed it full and moved it,0
received at my doorstep is good for me,2
nice products good,2
excellent glasses though magnet is not powerful enough to settle automatically but good in this price seller is most co operative,1
it was great excellent quality smooth mouse pad love it i recommend you to buy this,2
zbrdast bht achi product hy quality wise,2
good product and good quality thank u daraz,2
amazing smiling face with heart eyes,2
seller response is so much good,2
copy handfree ha original nahi ha original bol kr copy de ha haram ka khana acha lagta ha inko,2
really splendid by the fast delivery and the staggering quality,2
miraculous product works like charm thank you so very much,2
excellent bubble rap packing outstanding product recommended,2
very nice and warm worth the price i also got discount so happy advise for buyers to order or size bigger as i ordered to yrs but it is bit smaller for my yrs boy even after washing they are fine good quality,2
light on nhi ho rahi return karen please ya phir mujhe change kar k den,0
there are two marks on one shoe i tried to clean it but two lines are there the seller is not recommended,0
amazing thanks,2
cheap quality the plastic is very flimsy definitely not recommended,0
very bad quality not satisfied really bad experience colour is also very dark i must say i ll used it for cleaning the floor,0
excellent working,2
it s smell is really too good and long lasting miswak is also fresh thank you so much,2
zabardast rupee me maza agya,2
thank u daraz bht acha shoes h jo order kya wahi aaya,2
alhamdulillah received quality good sound good price good,2
excellent and as real as shown in photo,2
low qualityshow something but send something quality is not good use one time loose their stich disappointed,0
very bad product no result only waste of time and money recommend not to buy,0
they are good the power bank works well the audio quality could have been improve and a little high other than that overall they are nice and the texture is good too,2
nice,2
awsm quality,2
i open it looks fine use it din ka bad iska right speaker sy phati hoi awaz arhi ha agly bndy ko be issue hota h kiyn ka usy shoor jata ha mena baar pucha is this original handfree or not or ya khaty original ha rp with delivery day ky be agar ya chz he apko leni ha tu not worthy return krwana chaa raha hun leken ab lagta ni ho leken ya review isi leya deya h ky next customer isko daikhy or sochy lena sy phly st and last purchase,0
the holes in the product for soles hurt the soles while walking,0
cary ribbon is weak but bag quality is good,1
bhut achi hai,2
awesome as usual,2
product is overall good small in size and smell with be produced after mints of use recommended seller,2
best cooking temperature meter,2
not very good at all,0
my first order tws i i s airpods with super sound high quality touch sensors true stereo headphones,2
good quality wrapped up is too much good,2
got the led on time fast delivery and in perfect condition well packed,2
size is not accurate its written xl but actually it was large or medium fabric quality was also not good,0
nice packaging arrived from overseas in a reasonable amount of time quite small for a watt charger have been using this to charge a macbook and no problems have been encountered thus far it does heat up quite a bit but so did my original macbook charger,2
good quality everytime,2
it reached well everything is working fine it is really overwhelming and charming good item for gift it came with a charging cable and remote control with hour charging lamp can work for to hours it makes us all very happy smiling face with heart eyes will shop again soon,2
i am so satisfied bht hi achy potatoes hyn thanks daraz,2
good taste wao i like it,2
product is original and slightly used but in good condition at very reasonable price i am happy with product it was well packed and delivered in well mannered i have not used it yet but overall looks good also seller sent power cable with led thanks to seller and daraz,2
it is a very good product that is easy to wear it is light weight weight thanks daraz thanks vendor i love u,2
very large bottle the quality is fantastic and low in price recommended to buy,2
good quality product im so satisfied thnx daraz,2
m going to give stars i liked it very much specially the stuff it is very soft and comfortable and very light weighted it feels so soft when wearing and seller also snd the same clr i ordered thank you so much daraz thanks seller seller was honest recommended to all will order more from this shop in sha allah m so much happy smiling face with heart eyes for my shopping with daraz overall experience was really great,2
it is a nice product i recieved it in a single day it works perfectly fine i recommend the seller and product,2
g ye boht bykar ha boht chota voice bhe clair nhe ati,0
original product at reasonable price sound was perfect thanks seller,2
build quality is good too seller mentioned that blower is adjustable but i did not find any think to adjust other it is worth buying,2
i love it buhat acha product lekin i prefer u,2
overall good experience and i would recommend it as also received it on a lower price,2
packing was awesome original product fine material great seller service i am afraid but happy after receive my order thanks daraz bank alfalah,2
alhamdulillah jesi dekhi wesi milli pure bass pure voice exactly the same thing jo mujhe chahiye thee,2
good working amzing,2
i really love this handsfree seller delivered it before the delivery time packaging needs improvement but products quality is good recommend seller,2
awesome product very nice good mat colour i am very satisfied,2
great experience will find it much cheaper than market enjoy the sale thanks daraz,2
nice packaging fresh items except lady fingers however received after one day delay overall a good experience,2
shirt was not as good as showing in picture quality was average,0
good but it should be better,1
feeling totally betrayed i was sent a way cheaper product don t know whether it was intentional or not but this is a huge error on their part,0
it s really beautiful thank you much for this lovely lamp i will buy again thank you seller you are amazing and very polite,2
what a waste of money and time st thing i noticed its without the cap and whooaa the bottle was almost empty seriously is this from daraz mall,0
mera airports theek tha or kharab,0
i bought this cable with hdmi to spidif packaging,2
great price and experience,2
excellent for muscle streching also good quality positive,2
i received the parcel timely and in good condition but the led strip doesnt work,1
very bad qulity made up of jersey material free fire written with a very bad leather pasted with glue ia again saying very bad quality,0
bhai bohat achi chiaz hai delivery b time pe mil gaya zabardast,2
the medical equipment i ordered from daraz was poorly functioning it did not perform as expected and i had to seek an alternative solution elsewhere it s disheartening to receive a faulty product especially when it s essential for one s health,0
package received on time and its my second order for the same stickers i found it good well packed and delivered on time thanks to both daraz and dealer,2
not as per description,0
same as shown in picture lovely seeleves over all quality is best one of the best customer services smiling face with heart eyes will shop again soon and also waiting for my voucher because i m giving my honest review,2
genuine items as described comes with alcohol wipes which is a plus great service once again,2
fresh and in good packing,2
this fragrance had a very short shelf life after a few months it started to develop an unpleasant rancid smell it was disappointing to invest in a fragrance only to have it go bad so quickly i expected better quality and longevity,0
i really like your bts t shirt and i love it and it is also really smooth smiling cat with heart eyes,2
very very low quality just waste of money sub saman dalty hi damage hogay hain,0
i ordered in black color and even paid about more for black but received white this is irresponsibilty from seller,0
ordered of them the connector wasnt working on one of them,0
delivered same product,2
size chota hai or jo ordr kiya wo clr nhi aya blue clr ordr kiya bheja black yh hal hai first time ordr diya tha daraz py,0
however inconsistent performance sometimes does very well sometimes doesnt my room isnt so big,0
this was made of cards and paper really a third class quality wallet even the stitching was not completed it was a big scam,0
looking good on time delivery thanks for your approach good luck daraz,2
plz guid kr dyn k ye stars lgany kese hen or ye on kese ho gy plzz guid kr dyn,1
really bad quality as soon as i took it out of the box it stopped working completely useless,0
very useful product,2
nice i really like the shirts thanks daraz,2
yeah that s product is amazing but prices some high,1
size me thora chota hai lekin achi product beji hai thanx,2
me game khelta hon us hisab se gloves ki quality bohotnachi smooth he bohot earphone apni price ko justify kar raha he ab dekhte kitne din chalti he,2
the bolts are of such size that the bar is not fixing on the wall overall quality is bad the weld has started to give away after time use i have hanged the horizontal bar with a rope coz bolts are unable to hold the bar in place even with multiple drills in wall not recommended,0
very good sound loud,2
good quality earphones,2
well packed but it has light scratches on its glass frame and i guess price is high for this product it should be a little bit low other than that its a good product,1
it s as same as shown in picture,2
bought these for my dads new kitchen and they are great for dishes and cute for decor too,2
excellent working highly recommended,2
item was delivered within stipulated time item is as described,2
excellent product same as shown in the photos quality of product is too good best products staff is also smiling face with heart eyes smiling face with heart eyes also recommend it to all packing is good size is perfect,2
best experience the product is same as shown in the picture it is an item much needed at home highly recommended to everyone thanks daraz,2
amazing product fine quality use for may little purposes,2
bht achy hy thank you daraz,2
expensive in this price could b buy from market in plz dont buy customers its realy expensive in that price,0
the product was awesome it was excellently packaged thank you seller for sending the genuine product,2
good quality product highly recommended and also delivered before the expected time,2
blower is working good vacuum is useless net sent was also broken,1
as it is nh lakin acha tha m happy to buy it,2
zbrdast stars dhoop me rakhy thy charge ho gaiye raat ko kmry me bht achy lgty,2
waste of money they are chea,0
quality is fine received in time,2
fastest delivery ever on daraz just a single day double thumbs up to the company,2
what is this nonsense,0
no issues with seller but daraz is not good,1
not bad in this price,1
amazing smiling face with heart eyes,2
same as shown in picture satisfied rating,2
marvelous,2
comfortable shoes,2
handfree bohat achi hai maine bht dair baad review diya h lakin handfree abhi tak mere istamal m h thank you,2
there are dents on the product and products have lost it shape i specifically requested supplier to make good packing to avoid tarvel hazards paking was open too i tried to upload photos in review but couldnot manage might be system is busy will return it back donot recommend this,0
it is original moyu cube but is not fully magnetic only its spring which are in centre are magnetic its turning is good,1
nice jo order kiya wohii milaa thanks dataz,2
it s very good i am really satisfied,2
i punch my order for i s but the product i get was the packing of i s and within the box the buds was i s but overall the product was good fully satisfied thanks daraz good work delivery on time,0
great,2
original product thanks daraz,2
made of cheap quality,0
sir remote nhi chl raha light ka aj hi deliver ki ha kuch bta skty hai ap,0
good shirt thanks drazz,2
timely delivered in excellent condition and with good packing,2
its a very weak product it stoped in any little thick liquid,0
inch k star ko bra dkha k loot rhy bht he gtiaa quality ki chezain the shame on u,0
good quality and working product,2
they have sent me wrong size i ordered and inches and they sent me and inches there s a stitched cover on it so i cant even resize it,0
this do not looks to be cocoa butter what i have ordered original picture shows it is yellow which is it s natural color color of supplied product is white with no smell and powdery texture,0
not good,0
these bangles are just awesome and beautiful so colorful and light weight easy to carry,2
the thread is thinner than expected the quantity is also less haven t used yet but elasticity seems ok,1
decent build quality but wire is low quality i think its okay in this price tag,1
just amazing as it is in the pictures,2
fresh fresh,2
i received a aiwa piece toolkit but it is not the original aiwa piece toolkit this product is of poor quality the tool kit s box is broken because it is made of low quality materials despite the fact that the advertisements claim it is an original aiwa toolkit it is not an original aiwa toolkit,0
not true to the given size the diffuser broke as i put it on my dryer,0
order a room cooler via daraz app received cooler but i m not satisfied with the product as poor plastic and poor fittings of plastic at corners product was broken also,0
good quality in this price,2
good product original product delivery on time thanks daraz and saller,2
small size quality normal,1
item received in time no doubt quality is super fine but packing is compromised it needs to be more improvement in packing,1
very poor,0
nice worked,2
wo amazing stuff and fast delivery and this material is amazing this my first but i happy to see perfect time and staff thank you daraz and rider,2
satisfactory quality,2
buht zabadast buht ala goid seller he,2
very good product,2
no expired date mentioned on both bottle it expired,0
i got my parsal thank you its so beautiful and nice,2
i never received the product seller has no regard for costumer service no help from seller,0
accurate reading and reasonable price,2
at first it thought it s a pretty good purchase as the sound quality was good and it was delivered on time however after using for just one month one of the airpods stopped working and few weeks later the same happened with the other so you can buy this only if you have the money for buying another pair after a month,1
quality looks ok but i recieved a damaged product as shown in the pictures,0
poor quality and no flavor,0
dress was good fabric quality z normal just ok delivery on time thiz z good thing,1
it s too good,2
worst experience ever the same product can be bought at much lower price box was damaged wire also damaged near the earset side,0
gionee handsfree very good and deliver on time,2
koi khass nahi hai,0
blower and vacuum both,2
it was a cheap product cheap quality small size,0
received my parcel the quality is not good and color is not the same as in the picture,0
quality product,2
received brand new working fine with free installation within days,2
superb quality excellent product,2
the seller send me vitamin e oil rather than tea tree oil really disappointed,0
one of the lid is loose otherwise okay,1
nh mila parsel,0
daraz mart is an easy way for grocery shopping,2
it is working but it is not rechargeable and it s volume button is damaged i am really disappointed,0
really very good and good product i like it very much this is my st order nd it s really works good thanks daraz and seller highly recomanded,2
satisfied recommend,2
fresh and good quality highly recommended,2
good quality and working great,2
v nice stars my kids r so happy thanks daraz,2
fresh highly recommended,2
fazool hai handsfree aik din mein hi khrab ho gai,0
ya cheez ha acha band lite ma kafi achy lagty ha band lite ma camry ma show ni hoty,2
low quality product received broken very low quality,0
it s good size is small hardly one small thing can be keep in it zip quality is also average,1
canvas r not so good as compared to picture,0
it is same as shown in pics and works very well it s a good quality product thankyou seller,2
bahaot achi quality ka pouches hain ap apni koi bh chez is ma save rkh skty jsy airpords charging cable usb or cash bh or ya pocket ma bh easily a jata ma to dubara order krny lga hu ku ka daraz quality ko prefer krta ha islea ma na jb bh koi chez mangwani ho daraz sa mangwata thanku so much daraz ma sb ko suggest kro ga ka daraz sa order kia kry inky rates bahaot reasonable hoty hain,2
thank you daraz and thank you the seller the seller very nice person and listened my every instruction recommended the seller best response and quick the design as you want i am satisfied customer again thank you seller,2
haven t use yet will surely use and share reviews,1
thank you so much seller and daraz,2
very surprised and excited that daraz delivered my order on next day and haier team installed ac on same day ac cooling and throw is also very good,2
amazing product receive from draz in just i love it thanx daraz,2
bags ache hain agr kpre k hote to,2
i order black but they sent white chain so beware from the store,0
thank you so much for gift original sound is very smooth,2
dekhna m thk hy mena abi use ne ki,2
battery timing kharab or right wla ni sai kharab hai,0
good thanks daraz,2
i really like the quality bought it for my sister s birthday gift she really liked it keep it up,2
fresh potato as mentioned big size,2
product is good as per price,2
i received my parcel yesterday it s very nice deliver in time same as shown in picture i ll recommended thanks seller thanks daraz,2
no shain star,0
got the item broken,0
looks good i tried after lights off and shine,2
well the product looks like it s in the picture but the quality is super low won t recommend,0
nice awesome product,2
the delivery was within days product is exactly as shown satisfied,2
fantastic nice little cute work i am impressed with the items would also like to get somethings bigger,2
boht achy hen bags,2
good value for money,2
overall good quality product in this price,2
use k bd review karon gi,0
not satisfied quality is so cheap battery is very weak it worked well in water and not even moved in coffee and mein ne yeh coffee k liye mangwai thi paani k liye nahi,0
genuine handfree,2
amazing buhat hi kam price mai buhat hi achi ceez mil gi ha thank daraz and seller,2
fabric wise it s okay but as for the quality i am completely not satisfied i ordered the black one and according to the reference picture its supposed to be black but no it s not black but grey instead plus it not even transparent the way it s supposed to be and the way it looks in the picture i would recommend the seller to please do not just upload the product picture from some online source but actually capture the pictures so that the customers can guess the quality from the picture atleast,0
good,2
highly recommended this seller,2
this products battery working is very poor,0
fresh potatoes received,2
and easy to use i like it,2
the rider was cooperative and delivered my package at my doorstep,2
your package is valid but this web is amazing,2
i got my pkg installed and worked fine in cool mode for some days but its some features are not working its dry mode and heat mode is not working it is making noise from some days it is not tripping as it has to have i got a faulty piece making me annoyed,0
glasses are like the images shown,2
it s very amazing but the there are just common colours and the brightness is not that nice there should be more colours but all colours can be turned on by mixing or colours and if you just press the colour for instance purple so red and blue light will appear all over it s very nice quick delivery and quality is super,1
kg potato per order not acceptable at least mark kg limit next time not order if this happen again,0
works flawlessly happy with the purchase,2
the product is really of amazing quality very high standard of material excellent rods with rubber handles and screws are also enclosed well packed and received safely everyone should by only from this seller love from dera ismail khan,2
light not heavy came on the next day fast delivery nice product satisfied,2
fresh vegetable,2
working fine and material quality is good,2
achi lights hen lekn jab lagty hen to sides se dar lgta ha k tot na jaye folds kr k lagani hoti he corner se,1
